category_id,category_name,,country,description,followers,join_date,location,picture_url,profile_url,title,trailer_title,trailer_url,videos
1,Film and Animation,UC3gNmTGu-TTbFPpfSs5kNkg,United States,"The Fandango MOVIECLIPS channel is the largest collection of licensed movie clips on the web. We are HUGE movie fans. We love films so much, that our genome team has gone through hundreds of movies to pick out the best moments, scenes, and famous lines from all of your favorite films. Whether it's an action, comedy, drama, western, horror film, or any other genre, Fandango MOVIECLIPS has the unforgettable moments that stay with you long after you leave the theater.",19415744,4/28/06,,https://yt3.ggpht.com/a-/AN66SAw3dLdOWmdof9KzBWdm3bgzb0ls_jR_VSvVxQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg,Movieclips,How to Survive a Horror Movie | Movieclips,https://www.youtube.com/watch?v=QQCv4rxlHVg,30768
1,Film and Animation,UCRv76wLBC73jiP7LX4C3l8Q,,Blank,17622733,5/31/11,,https://yt3.ggpht.com/a-/AN66SAwdWmH7zmZhwA7AX8LutNYCgPBLcjxR4-gPtw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCRv76wLBC73jiP7LX4C3l8Q,Masha y Medved,https://www.youtube.com/watch?v=VTb5XZvSIJc,583
1,Film and Animation,UCi8e0iOVk1fEOogdfu4YgfA,United States,"The Fandango MOVIECLIPS TRAILERS channel delivers hot new trailers, teasers, and sneak peeks for all the best upcoming movies. Subscribe to stay up to date on everything coming to theaters and your favorite streaming platform.",12904718,4/1/11,,https://yt3.ggpht.com/a-/AN66SAznzBqwbwFaboR_a07f9ZsxM8ukw-tpUpm0=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCi8e0iOVk1fEOogdfu4YgfA,Movieclips Trailers,"In Theaters Now: Bohemian Rhapsody, Nobody's Fool, The Nutcracker and the Four Realms",https://www.youtube.com/watch?v=2xhtW-VnsG0,7617
1,Film and Animation,UCbTLwN10NoCU4WDzLf1JMOA,India,"Films. Music. Artistes. 

At our core, we're storytellers. 

From making high-budget blockbusters to youth-oriented films, from working with the biggest actors of the industry to launching young talent in films, from being the distribution house with the strongest global foothold to pioneering new formats of distribution and exploring newer territories, from launching compelling story-telling forms to the numerous digitally led innovations, Yash Raj Films (YRF) has maintained its flagship position across all verticals since its genesis.",15304521,6/7/06,,https://yt3.ggpht.com/a-/AN66SAwjEkl0sYFCQqksWjv2T9t6rRKLHRnncSydLA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCbTLwN10NoCU4WDzLf1JMOA,YRF,"Manzoor-e-Khuda Song Teaser | Thugs Of Hindostan | Aamir, Katrina, Fatima, Ajay-Atul, A Bhattacharya",https://www.youtube.com/watch?v=J12hDaRPNgg,3636
1,Film and Animation,UCyoXW-Dse7fURq30EWl_CUA,India,"Welcome to Goldmines Telefilms. One of the Finest Destination for Entertainment Content on Youtube. Now Watch Premiere of New South Hindi Dubbed Movies on Every Saturday & Also Enjoy Full Length Blockbuster Hindi Movies, Songs, Comedy Scenes and Much More. 
Subscribe NOW!",16658705,1/21/12,,https://yt3.ggpht.com/a-/AN66SAwPjWeaCOpKmgErJ5a5WTPGtRX4rI6iaOl_eA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA,Goldmines Telefilms,"Meri Awargi (Paruthiveeran) 2018 New Released Hindi Dubbed Full Movie | Karthi, Priyamani",https://www.youtube.com/watch?v=EFNKX1_bjdU,308
1,Film and Animation,UCDLmS9vkPcTz3cAc-c9QIzg,United States,"I have a passion for making videos, and have a blast doing so! Thank you for stopping by my channel and for being a part of my fun!",8264999,9/4/11,,https://yt3.ggpht.com/a-/AN66SAy8WA3UfsBVIEHlVJOjbdMbNGbYWJLKBt0JuA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCDLmS9vkPcTz3cAc-c9QIzg,Tanner Fox,IT'S FINALLY DONE! (GUACZILLA 2.0 REVEAL),https://www.youtube.com/watch?v=JcgvQSZyMi4,1007
1,Film and Animation,UCYUQQgogVeQY8cMQamhHJcg,,"No movie is without sin. We exist mostly just to remind you of that.

New sins videos every Tuesday & Thursday.

Call the Cinema Sins Hotline to narrate your own sins: 405-459-7466
Follow us on Twitter: http://twitter.com/cinemasins


Or Tumblr: http://cinema-sins.tumblr.com/",8185934,12/11/12,,https://yt3.ggpht.com/a-/AN66SAzZ1KTAuYH6NBqsyFaNeH6XsuJ3XfTxS4YRaQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCYUQQgogVeQY8cMQamhHJcg,CinemaSins,Everything Wrong With Cinema Sins In 3 Minutes Or Less,https://www.youtube.com/watch?v=qvkZ8sCd5EI,674
1,Film and Animation,UCzH3iADRIq1IJlIXjfNgTpA,United States,"Welcome to the Rooster Teeth Channel. We're a production company in Austin, TX, making podcasts, animated shows, and live-action shorts and series. We also make content on a bunch of gaming channels; check those out on the right. SUBSCRIBE: http://bit.ly/Roosterteeth",9587975,7/11/06,,https://yt3.ggpht.com/a-/AN66SAz_X-64f4e7pTD7Aq3eLiwoPPTjrQa6CEdn7A=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCzH3iADRIq1IJlIXjfNgTpA,Rooster Teeth,RWBY Volume 6 Intro | Rooster Teeth,https://www.youtube.com/watch?v=SPc7OLVc_Yk,7948
1,Film and Animation,UCDsO-0Yo5zpJk575nKXgMVA,,"We're a weird hybrid studio/production company that, at our core, strives to bring you fun, genuine entertainment, whether itäó»s TV shows, feature films, short films, live streams, tutorials, or anything in-between. We pride ourselves on making better stories than you'd expect and with more heart than you'd imagine.


We started with Video Game High School, a three-season, full-length, award-winning independent web series. It was named #1 Web Series of 2013 by Variety, nominated for a Producer's Guild Award for Outstanding Digital Series in 2014 and 2015, and won Streamy Awards for Direction, Ensemble Cast, and Action/Sci-Fi Series. Soon after, we partnered with Lionsgate, which resulted in the 2015 behind-the-scenes documentary series RocketJump: The Show on Hulu, our upcoming sci-fi anthology show Dimension 404, and a whole bunch more awesome stuff to come.",8413451,2/22/06,,https://yt3.ggpht.com/a-/AN66SAyKD1_Ql2FV0T3h9CsD-EpDXrl6ja_wp_YtUw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCDsO-0Yo5zpJk575nKXgMVA,RocketJump,Anime Crimes Division: Season 2 Bloopers!,https://www.youtube.com/watch?v=01rvdxxmdkI,338
1,Film and Animation,UCHCph-_jLba_9atyCZJPLQQ,,"Welcome to How it Should Have Ended!  A place for animated parody alternate endings to major motion pictures.  We make cartoons as fast as we can and hopefully we can make you laugh along the way.  Thanks for watching our videos and thank YOU for subscribing. 


You can find us also at http://www.howitshouldhaveended.com



Check out our new channel that's fun for the whole family!  http://www.youtube.com/HISHEKids
Help us spread the word!

Want to help support HISHE?  Buy HISHE merchandise from our DFTBA store: http://dftba.com/hishe

Now live! HISHE compilations are now available to download on iTunes, includes free Super Caf best of reel http://bit.ly/HISHEiTunes",8393902,3/5/07,,https://yt3.ggpht.com/a-/AN66SAwEEeKUiE8gv3s1-XUjgcq8dWOCIwDbraeBbA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCHCph-_jLba_9atyCZJPLQQ,How It Should Have Ended,Welcome to How It Should Have Ended - Trailer,https://www.youtube.com/watch?v=n-7LBKi8z0k,332
