category_id,category_name,,country,description,followers,join_date,location,picture_url,profile_url,title,trailer_title,trailer_url,videos
26,Howto & Style,UC295-Dw_tDNtZXFeAPAW6Aw,United States,"Fun diy-projects, crafts, experience the joy of doing it yourself!OFFICIAL CHANNEL.",40474509,11/15/16,,https://yt3.ggpht.com/a-/AN66SAzCuCdsGXFCbf4rLBAhjeMMHFFysegG1-UhuA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,5-Minute Crafts compilation: This video is a treasure trove!,https://www.youtube.com/watch?v=YAjzcignrLU,2350
26,Howto & Style,UC4rlAVgAK0SGk-yTfe48Qpw,,Always look on the bright side of life and stay positive!,19632917,3/15/17,,https://yt3.ggpht.com/a-/AN66SAzsu1KDiWOBFN-nDShzZyrQ5jRQBEpssH-EEg=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,10 Types of Girls Men Usually Don't Marry,https://www.youtube.com/watch?v=FQ7yuciws6k,1817
26,Howto & Style,UCD9PZYV5heAevh9vrsYmt1g,United States,"On my channel: Simple Life Hacks, DIYS, Craft Ideas, Fun Experiments, tricks and pranks! I also do Morning and Night Time Routines, Hair Tutorials, Diet & fitness Tips, Look books & Fashion Videos, Skincare Tutorials and Tips, and everything to help you improve, motivate and simplify your life because I love to try new things and help you all make the right decisions. I want this channel to inspire you to be whoever you want to be. I\'m a Chinese Australian that has a wonderful family online :) 
NEW VIDEOS every WEEK!! Subscribe and turn on notifications :)!!
Instagram @misswen
Twitter @wengie
Follow me on Snapchat: wengie
Blog: http://www.wengie.com
Please email my management at Rare Global for business inquiries only: wengie@rare.global",12718658,9/9/10,,https://yt3.ggpht.com/a-/AN66SAwXy0HiUsfoSceQTjrS2k0PZWoxq-3NfOpUlQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCD9PZYV5heAevh9vrsYmt1g,Wengie,10 Pranks For Back To School! Prank Wars!,https://www.youtube.com/watch?v=6q7FCKuGj6Q,212
26,Howto & Style,UCR4s1DE9J4DHzZYXMltSMAg,Australia,"I make How To videos!
Have a video Suggestion? Post it in the Comments section, contact me through my Facebook page or Tweet me!
Business enquiries - HowToBasic@gmail.com
Connect with me!
Facebook: http://www.facebook.com/HowToBasic
Twitter:http://www.twitter.com/HowToBasic
Instagram: http://instagram.com/HowToBasic
T-Shirts & Eggy Merchandise: http://howtobasic.spreadshirt.com/",12310750,12/8/11,,https://yt3.ggpht.com/a-/AN66SAyPSF1_YS6kZ0b6havsNWAI77uEeGLel4PAew=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCR4s1DE9J4DHzZYXMltSMAg,HowToBasic,How To Build a Gaming PC,https://www.youtube.com/watch?v=PZl944T4x-U,484
26,Howto & Style,UCWRV5AVOlKJR1Flvgt310Cw,Great-Britain,Zoella,11979930,2/2/07,,https://yt3.ggpht.com/a-/AN66SAyu8yJdhl5-IrTvtfjSQ-QGnwIbTBPHxRPmOw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCWRV5AVOlKJR1Flvgt310Cw,Zoella,Ultimate Pizza Taste Test With Mark | Zoella,https://www.youtube.com/watch?v=xSGu_Ervro0,377
26,Howto & Style,UCkvK_5omS-42Ovgah8KRKtg,United States,"MAKEUP ARTIST/COSMETICS CREATOR. Singer/song writer. Fashion obsessed. Mother to 6 Pomeranians. 
* SHOP MY BRAND: http://www.jeffreestarcosmetics.com
+ FOLLOW MY BRAND ON Instagram: http://instagram.com/jeffreestarcosmetics",11246841,2/14/06,,https://yt3.ggpht.com/a-/AN66SAzTsfrS4VVuH-0IBkVGd-Mursbr-dcJs9xjHA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCkvK_5omS-42Ovgah8KRKtg,jeffreestar,WE GOT A NEW LAMBORGHINI URUS SUV! | Jeffree Star,https://www.youtube.com/watch?v=tctYCIRiQ6g,306
26,Howto & Style,UCzTKskwIc_-a0cGvCXA848Q,Nederland,"N I K K I E T U T O R I A L S
NEW video every Wednesday and Sunday 4:00pm EST/01:00pm PST!
Hair & Makeup Artist - When life gives you lemons, punch it in the face and ask for glitter!
Business inquiries only: info@nikkietutorials.com
Facebook: NikkieTutorials
Instagram: @nikkietutorials
Twitter: Nikkietutorials
Snapchat: Nikkietutorials#nikkietutorials",11187862,6/23/08,,https://yt3.ggpht.com/a-/AN66SAwc-flkrncKRVBdlu-itGpTwAPtRQajjR9RwA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCzTKskwIc_-a0cGvCXA848Q,NikkieTutorials,I WORE MAKEUP FOR 24 HOURS!!! ...this is what happened!,https://www.youtube.com/watch?v=9fp3aVJW8hY,687
26,Howto & Style,UCJFp8uSYCjXOMnkUyb3CQ3Q,,"Food that'll make you close your eyes, lean back, and whisper",10958131,1/22/16,,https://yt3.ggpht.com/a-/AN66SAxSTpEp-r6DFzdJeSkUDbTPRfXEe5xOuk-wWw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty,We Tried World Famous Mac And Cheese In Seattle,https://www.youtube.com/watch?v=fd1Kar5KHtw,2430
26,Howto & Style,UCjwmbv6NE4mOh8Z8VhPUx1Q,United States,"Welcome to my channel! I\'m Rosanna Pansino and I really enjoy creating content on YouTube! 
FOLLOW ME HERE:
Website: http://www.RosannaPansino.com
Facebook: http://www.facebook.com/rosannapansino
Twitter: http://www.twitter.com/RosannaPansinoInstagram: http://instagram.com/RosannaPansino
Snapchat: rosannapansino
Pinterest: http://www.pinterest.com/RosannaPansino
Fan Mail:
Rosanna Pansino
9601 Wilshire Blvd
Beverly Hills, CA
90210
New Videos Every Week! Subscribe for more.",10795349,4/8/10,,https://yt3.ggpht.com/a-/AN66SAxx0XdH-Q598_w5r3CEE2FFtLeYMj3ITirx8Q=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCjwmbv6NE4mOh8Z8VhPUx1Q,Rosanna Pansino,Mini Pumpkin Spice Latte Cakes! w/ Kandee Johnson,https://www.youtube.com/watch?v=o4T9omCcVSs,626
26,Howto & Style,UCc6W7efUSkd9YYoxOnctlFg,,"Hey! Welcome to my channel. 
Subscribe to see all of my videos about style, travel, comedy, beauty, cooking, positivity,
and more! So thankful for over 10 million MOTAVATORS! You guys are the best.
Xx Beth
E-mail:
BethanyMotaContact@gmail.com",10453409,6/8/09,,https://yt3.ggpht.com/a-/AN66SAykgBKU8V5B3b_NwCVaCHF_Ftzb23b2rA_5WA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCc6W7efUSkd9YYoxOnctlFg,Bethany Mota,Instagram Followers Control My Life for a Day | Bethany Mota,https://www.youtube.com/watch?v=0K5XdYe4EGA,476
