category_id,category_name,,country,description,followers,join_date,location,picture_url,profile_url,title,trailer_title,trailer_url,videos
25,News & Politics,UCttspZesZIDEwwpVIgoZtWQ,India,"In a short period of its existence, India TV has earned a repute of credible reporting, courage, espousal of public interest and its unmatched delivery which is of a great value to all  stakeholders. The channel has its bureau and sales representation across the country. India TV has state-of-the-art digital connectivity and a new centre covering an area of 80,000 square feet in Noida.
Website: https://www.indiatvnews.com",7734895,8/26/06,,https://yt3.ggpht.com/a-/AN66SAy_u8kVh7vdgZhauVIBxvo0Rc3YnWLG471PvA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCttspZesZIDEwwpVIgoZtWQ,IndiaTV,ˆ_¦ˆ´Üˆ_¡ ˆ_¥ˆ_¨ ˆ_Ðˆ__ˆ_Âˆ_¡ ˆ_Ïˆ__ˆ´ˆ_øˆ__ˆ__ˆ__ | Watch India TV for non-stop news coverage throughout the day,https://www.youtube.com/watch?v=-bTk1IvNC80,122794
25,News & Politics,UCupvZG-5ko_eiXAupbDfxWw,,"CNN operates as a division of Turner Broadcasting System, which is a subsidiary of Warner Media. CNN identifies itself as -- and is widely known to be - the most trusted source for news and information. The CNN umbrella includes nine cable and satellite television networks, two radio networks, the CNN Digital Network, which is the top network of news Web sites in the United States, and CNN Newsource, the world's most extensively syndicated news service. CNN is proud of our ability to bring you up-to-the-minute news from around the world, as a result of our many extensions.",5254736,10/2/05,,https://yt3.ggpht.com/a-/AN66SAz-dUVC7Ze4UxFf8Vzu1Z3tt0HnsyiTOVPdWg=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,CNN,CNN. Go There.,https://www.youtube.com/watch?v=MnR9AVs6Q_c,143216
25,News & Politics,UCLXo7UDZvByw2ixzpQCufnA,,"Vox helps you cut through the noise and understand what's driving events in the headlines and in our lives, on everything from Taxes to Terrorism to Taylor Swift. Vox Video is Joe Posner, Joss Fong, Estelle Caswell, Johnny Harris, Phil Edwards, Carlos Waters, Gina Barton, Liz Scheltens, Christophe Haubursin, Carlos Maza, Coleman Lowndes, Dion Lee, Dean Peterson, Mac Schneider, Sam Ellis, Valerie Lapinski, Mona Lalwani, and the staff of Vox.com. 
For much much more, head over to www.vox.com. And subscribe so you don't miss a video at http://goo.gl/0bsAjO
To write us: joe@vox.com.
To request permission to use our videos: permissions@voxmedia.com",5045940,3/4/14,,https://yt3.ggpht.com/a-/AN66SAzmfwD4h7Jzkhnhzc9M4VlCwD3-MIWp4NLrig=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCLXo7UDZvByw2ixzpQCufnA,Vox,How job surveillance is changing trucking in America,https://www.youtube.com/watch?v=G_UHknhNbAQ,917
25,News & Politics,UC9k-yiEpRHMNVOnOi_aQK8w,United States,"Inside Edition is television's longest-running, top-rated, and most-honored syndicated newsmagazine. #1 in News and Politics on YouTube (Tubular Labs).",4870470,10/9/12,,https://yt3.ggpht.com/a-/AN66SAw-DPrRe-eWEKcBuJEo-BoIZ97-mu-lxKLd=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,Inside Edition Channel Trailer - Thanks For 4 MILLION SUBSCRIBERS!,https://www.youtube.com/watch?v=33LQNK8BYO8,15273
25,News & Politics,UCE2606prvXQc_noEqKxVJXA,Philippines,"The official YouTube channel of ABS-CBN News and Current Affairs. Updated daily with the latest breaking news!
Subscribe to the ABS-CBN News channel! - http://bit.ly/TheABSCBNNews
Visit our website at http://news.abs-cbn.com
Facebook: https://www.facebook.com/abscbnNEWS
Twitter: https://twitter.com/abscbnnews
Instagram: https://www.instagram.com/abscbnnews",4954963,10/22/09,,https://yt3.ggpht.com/a-/AN66SAyfbCT8X1EvRfnYOnayqvrZ-nW8RWYMtn1Z=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCE2606prvXQc_noEqKxVJXA,ABS-CBN News,SOCO: Pinutol Na Ligaya,https://www.youtube.com/watch?v=1NNFvJKTpxQ,87492
25,News & Politics,UCfwx98Wty7LhdlkxL5PZyLA,Great-Britain,"Barcroft TV is the home of amazing exclusive video.
We update our YouTube site regularly with incredible real-life stories and footage - so stay tuned for more!
All our music comes from www.epidemicsound.com",5628097,6/23/06,,https://yt3.ggpht.com/a-/AN66SAyf6GZ2CYSYEZcQXifIqyo3UQ6ZTjcVgH69fA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCfwx98Wty7LhdlkxL5PZyLA,Barcroft TV,Barcroft TV - Proud To Be Different,https://www.youtube.com/watch?v=txd1mTb19QM,2178
25,News & Politics,UCBi2mrWuNuyYy4gbM6fU18Q,United States,"Make ABC News your daily news outlet for breaking national and world news, broadcast video coverage, and exclusive interviews that will help you stay up to date on the events shaping our world. ABC News show roster has both leaders in daily evening and morning programming. Kick start your weekday mornings with news updates from Good Morning America (GMA) and Sundays with This Week with George Stephanopoulos. Get your evening fix with 20/20, Nightline, and ABC World News Tonight with David Muir. Head to abc.go.com for programming schedule and more information on ABC News.",4764813,8/7/06,,https://yt3.ggpht.com/a-/AN66SAw0PhmBjmkrZlSi-fZRbfbZPl72hmOdG_p0dQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,Indiana school district to move bus stop after car accident kills 3 siblings,https://www.youtube.com/watch?v=g9a9cmWlrEk,44494
25,News & Politics,UC11PvrGPzo6Y7Zc6-e9cAKg,United States,"Welcome to DramaAlert! Your #1 source for news on the social interactions in online entertainment!
Please do not email us any news, tips or stories! Tweet or DM on Twitter - @DramaAlertDM",4446364,6/16/14,,https://yt3.ggpht.com/a-/AN66SAyPGPMOHbQLhNkA4duGn-CTNVugumMQmtvuMA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC11PvrGPzo6Y7Zc6-e9cAKg,DramaAlert,Dolan Twins DEFENDS Jake Paul? #DramaAlert Sommer Ray Let the Girls OUT! ( The Gabbie Show ),https://www.youtube.com/watch?v=jiqnnNHMYws,918
25,News & Politics,UCx8Z14PpntdaxCt2hakbQLQ,India,"Welcome to The  Lallantop YouTube Channel. The Lallantop channel is all about Latest News, politics news, entertainment news, sports news, social media news, movie reviews, opinion news and more.
Stay tuned for all the trending news in Hindi, exclusive videos and celebrity interviews.",4153296,3/23/15,,https://yt3.ggpht.com/a-/AN66SAxVa1d0fEx0fykq3ZNiSaM3-RtLtku8RU_uaw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCx8Z14PpntdaxCt2hakbQLQ,The Lallantop,Sri Lanka ˆ_¨ˆ´àˆ_â Mahinda Rajapaksa ˆ_üˆ´à ˆ_øˆ´à ˆ_¥ˆ´ˆ_øˆ__ ˆ_¥ˆ_¡ˆ_µˆ__ˆ_¬ˆ__ ˆ__ˆ__ˆ__ˆ__ˆ__ ˆ__ˆ´ö China | Lallantop Show | 29 Oct,https://www.youtube.com/watch?v=7ItOXxunz90,4095
25,News & Politics,UCIvaYmXn910QMdemBG3v1pQ,India,"Zee Media Corporation Ltd (ZMCL), India's largest news network, touches the lives of over 150 million Indians through a clutch of national and regional news channels. 
Zee News, which is the flagship channel of the company, has the Soch Badlo Desh Badlo tag line which shows the focus on hardcore and serious news. The channel's programmes have won several prestigious national and international awards.
The specific channels operated by Zee Media Corporation Ltd are Zee News, Zee Business, Zee Punjab Haryana Himachal, Zee Kalinga, Zee Rajasthan, Zee Bihar and Jharkhand, Zee 24 Gantalu, Zee Madhya Pradesh Chattisgarh, , Zee Salaam, Zee 24 Taas - the first 24-hour Marathi news channel. 24 Ghanta, a 24 hour Bangla news channel is operated by a subsidiary company known as Zee Akaash News Private Limited.
Zee Media Corporation Ltd also supplies content to the international broadcasting business of Zee in USA, Europe, Africa, Middle East and Asia Pacific.",4369665,6/19/07,,https://yt3.ggpht.com/a-/AN66SAw7TZugMtd2EGnGbKubQRLLaQQRdz_HKK92NQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCIvaYmXn910QMdemBG3v1pQ,Zee News,Construction of Ram Mandir will start from 6th December:Rambhadracharya,https://www.youtube.com/watch?v=VACIOE1bl7k,88443
