category_id,category_name,,country,description,followers,join_date,location,picture_url,profile_url,title,trailer_title,trailer_url,videos
15,Pets & Animals,UC6E2mP01ZLH_kbAyeazCNdg,,"The Brave Wilderness Channel is your one stop connection to a wild world of adventure and amazing up close animal encounters! 
Follow along with adventurer and animal expert Coyote Peterson and his crew as they lead you on 7 exciting expedition series - Breaking Trail, Blue Wilderness, Beyond the Tide, Beyond Dinosaurs, Dragon Tails, Base Camp and On Location - featuring everything from Grizzly Bears and Crocodiles to Rattlesnakes and Tiger Sharks! Every single episode offers an opportunity to learn something new.
So SUBSCRIBE NOW and join the adventure that brings you closer to the most beloved, bizarre and misunderstood creatures known to man. 
GET READY...things are about to get WILD!   
New Videos Every Wednesday, Friday and Sunday!",12891956,9/8/14,,https://yt3.ggpht.com/a-/AN66SAx-uqs73MzDCASKsu62zttg7EabnTim5jHmLw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC6E2mP01ZLH_kbAyeazCNdg,Brave Wilderness,Brave Wilderness Trailer - Update!,https://www.youtube.com/watch?v=xOPl2CR0rvU,461
15,Pets & Animals,UCdu8QrpJd6rdHU9fHl8J01A,United States,"http://www.HopeForPaws.org
Hope for paws was established to help animals who suffer and die every year because of negligence and abuse. We have years of experience in rescuing dogs from difficult and heart wrenching conditions.
Please subscribe, share our stories and help us raise donations to save as many dogs as possible. Without your help we wouldn'tbe able to do what we do. 
If you are BLOCKED from watching videos on this platform, please use this alternative link: https://vimeo.com/eldad75/videos
Please follow our social media for regular updates on rescues & adoptions
Facebook: https://www.facebook.com/hopeforpawscalifornia
Twitter: https://twitter.com/hopeforpaws
Flickr: https://www.flickr.com/photos/eldad75
Pinterest: https://www.pinterest.com/hopeforpaws/
Tumblr: http://hopeforpaws.tumblr.com
Instagram: https://www.instagram.com/hopeforpawsrescue/",3396536,9/14/06,,https://yt3.ggpht.com/a-/AN66SAwNlQ7EoA83VUc_rlBcbPmsYnkpI69-VTKk_g=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCdu8QrpJd6rdHU9fHl8J01A,Hope For Paws - Official Rescue Channel,Two dogs in the sewer cried for help until someone heard them!!!,https://www.youtube.com/watch?v=PTy_OLncqq8,375
15,Pets & Animals,UCwmZiChSryoWQCZMIQezgTg,Great-Britain,"The world is an amazing place full of stories, beauty and natural wonder. Explore the official BBC Earth YouTube channel and meet the animals and wildlife of your planet. Here you'll find 50 years worth of astounding, entertaining, thought-provoking and educational natural history documentaries.
BBC Earth is the official channel of well known Sir David Attenborough series such as Planet Earth, Frozen Planet and Blue Planet II. It is also where you can find fantastic nature and wildlife documentaries such as Life of Mammals and classics like Planet Dinosaur.
Dramatic, rare and wild nature doesn't get more exciting 
And you can become part of the BBC community by checking out our BBC Earth Facebook page. Here you'll find the best natural history content from the web, exclusive videos and images and a thriving, vibrant community.
This is a channel from BBC Studios, who help fund new BBC programmes.",3329923,2/25/09,,https://yt3.ggpht.com/a-/AN66SAyV1FzqayIHVf825Medg0HxbnVVAt2PhvdDVg=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCwmZiChSryoWQCZMIQezgTg,BBC Earth,Dynasties: First Look Trailer | New David Attenborough Series | BBC Earth,https://www.youtube.com/watch?v=JWI1eCbksdE,1413
15,Pets & Animals,UCINb0wqPz-A0dV9nARjJlOQ,United States,"The Dodo on YouTube is a place for everyone who loves animals and cares about their wellbeing. Our goal is to make caring about animals a viral cause. We want our fans to fall in love with animals, be entertained while they're doing it, and feel empowered to help animals in need.",2902668,3/21/14,,https://yt3.ggpht.com/a-/AN66SAwyyFRyYfiu_bNP-I6R97LqBBEjci7VSyU-kw=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCINb0wqPz-A0dV9nARjJlOQ,The Dodo,Dog Was SO Proud When Her Human Sister Finally Walked  | The Dodo,https://www.youtube.com/watch?v=LTeTtZZvOgE,4686
15,Pets & Animals,UCC7tqA6lA2QRw4BdrAEKFxg,United States,"Maymo is a seriously funny lemon beagle dog made famous by his extremely cute and derpy activities. His videos have appeared on major television shows and websites. 
New videos every Thursday and every other Monday! Subscribe so you don't miss his latest upload! http://bit.ly/WxyQ1d
For licensing inquiries, contact:  contact@viralspiralgroup.com
Name: Maymo
Born: January 15, 2011
Breed: Lemon Beagle
Favorite Drink: Coconut Water
Favorite Toy: Battery-operated mouse",2831252,10/30/06,,https://yt3.ggpht.com/a-/AN66SAwbu6LPd6tXOKNt3puNi-qQI6P2cN2_jmUJjA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCC7tqA6lA2QRw4BdrAEKFxg,Maymo,Dogs' Epic Shopping Cart Voyage: Funny Dogs Maymo & Penny,https://www.youtube.com/watch?v=c2OTHeCKsBE,287
15,Pets & Animals,UCKy3MG7_If9KlVuvw3rPMfw,,"ABOUT US:Hello and welcome to our channel! Here you will find lots of fun for everyone. We create super funny compilations. You can watch a lot of funny videos about animals, pets, cats, dogs, kids, babies, fails and so on. We guarantee that you will laugh super hard and leave our channel with a smile on your face!
WANNA MAKE YOUR PET FAMOUS?
We are opened to all kind of interesting animal clips so feel free to share them with us. If you 
think your furry friend deserves to be famous, send us youtube links or clips of your pet to:
tigerlicensing@gmail.com
COPYRIGHT ISSUES:
The content in our compilations is licensed and used with authorization of the rights holder. If you have any questions about compilation or clip licensing, please contact us: tigerlicensing@gmail.com
You are free to share our videos\' URL on any other social media and web pages. DO NOT REUPLOAD videos to your channel or any other channels. Reuploading our videos will result into a copyright strike.",2703041,10/16/12,,https://yt3.ggpht.com/a-/AN66SAw-jDUVMfCKLdZ-iq2l1-S03H16kcOfZPA9Yg=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCKy3MG7_If9KlVuvw3rPMfw,Tiger Productions,WARNING: You may DISLOCATE YOUR JAW FROM LAUGHING - Best FUNNY CAT videos,https://www.youtube.com/watch?v=oH2aClVmyYA,411
15,Pets & Animals,UCONd1SNf3_QqjzjCVsURNuA,,"I believe ants are the most amazing creatures on the planet, and every new discovery about their micro world gives us some profound insights into the world around us and ourselves. It is why I started this Youtube channel and AntsCanada.com. Bringing the ant farm and love of ant keeping to a whole new level, this channel will help you discover the joys of keeping big and healthy pet ant colonies. Shipping worldwide since 2009, we are innovators of ant keeping products for ant lovers and museums alike.
New ant video uploaded every Saturday 8AM EST (with frequent bonus videos) so pls SUBSCRIBE!
Be sure to Like us on FB: https://www.facebook.com/AntsCanada/
Follow us on Twitter: http://www.twitter.com/AntsCanada/
Follow us on Instagram: http://www.instagram.com/AntsCanada/
and join our AntsCanada forum: http://forum.antscanada.com
NOTE: For immediate help with ant keeping and/or our products, please visit our helpful FAQ: http://www.antscanada.com/frequently-asked-questions/",2414499,7/14/09,,https://yt3.ggpht.com/a-/AN66SAzVABYG6Blu5MyCyHsOHtq_OCF2IwiDS1_ZvQ=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCONd1SNf3_QqjzjCVsURNuA,AntsCanada,OMG! My Fire Ants Are Planning an Escape,https://www.youtube.com/watch?v=lrnDOovsmfg,399
15,Pets & Animals,UC4kyYTypYb3mQ6ZL25kly6g,,"Animal Aid Unlimited is a leading street animal rescue center in India. Our hospital and sanctuary are home to more than 4,500 rescued and recovering animals each year. 
Please share our videos to support street animal rescue! 
Every donation, no matter how small, makes our life-saving rescues possible. Thank you for joining our rescue team.",2473320,8/2/08,,https://yt3.ggpht.com/a-/AN66SAwa54hWBgO6I8m9KuWZt5qjbSmFg0Lrw_YGuA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UC4kyYTypYb3mQ6ZL25kly6g,"Animal Aid Unlimited, India","Stuck for hours in rock-solid tar, puppies rescued. Watch til the end.",https://www.youtube.com/watch?v=p86thdt-EgI,197
15,Pets & Animals,UCVUdHi-tdW5AKdzMiTPG97Q,Canada,"Puppies & Babies & Kitties OH MY! New videos, all in HD, ALL the time. Great funny videos for kids and adults! Family friendly! Plus, every time someone subscribes, baby animals are born!",2421687,11/27/10,,https://yt3.ggpht.com/a-/AN66SAwmkk3cVv4YH2e-m5UInm_fWj-TwBtA_jK4ng=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCVUdHi-tdW5AKdzMiTPG97Q,funnyplox,Funny Babies Laughing Hysterically Compilation (2018),https://www.youtube.com/watch?v=R2AqN51ZPCw,421
15,Pets & Animals,UCFTQHUTHcshtMNO9nkCecgg,,"Top View Viral es un canal de educacin y entretenimiento, dedicado a la creacin de Tops y Listas interesantes que no creer's que existen, cosas que no sabias, pol'micas, extraias, raras, bizarras, perturbadoras, divertidas y misteriosas. No te pierdas ni un solo video. Suscribete !",1641493,10/21/13,,https://yt3.ggpht.com/a-/AN66SAxEERi_fqbolFvjnereOWWs0CjmTfKAoSFiJA=s88-mo-c-c0xffffffff-rj-k-no,http://www.youtube.com/channel/UCFTQHUTHcshtMNO9nkCecgg,Top View Viral,10 Serpientes ExÌ_ticas Ì_nicas En El Mundo,https://www.youtube.com/watch?v=AzwEQlqMLAg,651
